city,lat,lng,population,density
New York,40.6943,-73.9249,18680025,10768
Los Angeles,34.1141,-118.4068,12531334,3267
Chicago,41.8375,-87.6866,8586888,4576
Miami,25.784,-80.2101,6076316,4945
Dallas,32.7935,-96.7667,5910669,1522
Houston,29.786,-95.3885,5724418,1394
Philadelphia,40.0077,-75.1339,5540199,4544
Atlanta,33.7628,-84.422,5151496,1419
Washington,38.9047,-77.0163,5066973,4434
Boston,42.3188,-71.0852,4465966,5505
Phoenix,33.5722,-112.0892,4187723,1236
Detroit,42.3834,-83.1024,3731486,1871
San Francisco,37.7558,-122.4449,3557982,7199
Seattle,47.6211,-122.3244,3530752,3414
San Diego,32.8313,-117.1222,3178495,1675
Minneapolis,44.9635,-93.2678,2885614,3035
Tampa,27.9945,-82.4447,2771700,1340
Brooklyn,40.6501,-73.9496,2736074,15200
Denver,39.762,-104.8758,2709398,1805
Queens,40.7498,-73.7976,2405464,8503
Baltimore,39.3051,-76.6144,2270087,2872
Las Vegas,36.2333,-115.2654,2165405,1754
St. Louis,38.6359,-90.2451,2144317,1905
Riverside,33.9381,-117.3949,2112239,1556
Portland,45.5371,-122.65,2072553,1881
San Antonio,29.4632,-98.5238,2036324,1183
Sacramento,38.5677,-121.4685,1882358,1971
San Juan,18.3985,-66.061,1854549,2982
San Jose,37.3012,-121.848,1797166,2229
Orlando,28.4773,-81.337,1792047,994
Cleveland,41.4764,-81.6805,1742437,1903
Pittsburgh,40.4397,-79.9763,1719289,2100
Manhattan,40.7834,-73.9662,1694263,28653
Austin,30.3005,-97.7522,1685522,1165
Cincinnati,39.1413,-84.506,1684800,1501
Indianapolis,39.7771,-86.1458,1636763,928
Kansas City,39.1238,-94.5541,1602005,602
Columbus,39.9862,-82.9855,1547862,1560
Charlotte,35.2083,-80.8303,1526465,1094
Virginia Beach,36.7335,-76.0435,1475522,711
Bronx,40.8501,-73.8662,1472654,13356
Milwaukee,43.0642,-87.9675,1390046,2379
Providence,41.823,-71.4187,1204385,3764
Jacksonville,30.3322,-81.6749,1165107,466
Salt Lake City,40.7776,-111.9311,1135747,700
Nashville,36.1715,-86.7842,1081876,541
Raleigh,35.8324,-78.6429,1073795,1232
Memphis,35.1087,-89.9663,1072330,846
Richmond,37.5295,-77.4756,1025117,1476
Louisville,38.1663,-85.6485,1004821,906
New Orleans,30.0687,-89.9288,957783,891
Bridgeport,41.1918,-73.1954,948918,3485
Oklahoma City,35.4676,-97.5136,947247,413
Buffalo,42.9018,-78.8487,926607,2446
Hartford,41.7661,-72.6834,918434,2722
Fort Worth,32.7817,-97.3474,892221,992
Tucson,32.1541,-110.8787,883127,873
Honolulu,21.3294,-157.846,834138,2214
McAllen,26.2252,-98.2467,805270,883
El Paso,31.8476,-106.43,798217,1015
Omaha,41.2627,-96.0529,791432,1307
Albuquerque,35.1054,-106.6465,762853,1155
Birmingham,33.5279,-86.7971,753721,553
Sarasota,27.3387,-82.5432,727388,1518
Dayton,39.7805,-84.2003,723844,971
Rochester,43.168,-77.6162,720189,2227
Fresno,36.783,-119.7939,702486,1763
Tulsa,36.1283,-95.9042,698349,786
Allentown,40.5961,-75.4756,688658,2664
Concord,37.9722,-122.0016,667250,1633
Cape Coral,26.6443,-81.9957,649339,690
Charleston,32.8168,-79.9687,645413,461
Colorado Springs,38.8674,-104.7605,621332,932
Springfield,42.1155,-72.5395,615728,1861
Grand Rapids,42.9619,-85.6562,615273,1719
Ogden,41.2279,-111.9682,615015,1221
Columbia,34.0378,-80.9036,609689,378
Baton Rouge,30.442,-91.1311,605449,993
Knoxville,35.9692,-83.9496,603685,733
Mission Viejo,33.6096,-117.6551,600802,2091
Albany,42.6664,-73.7987,590823,1747
Akron,41.0798,-81.5219,570375,1230
New Haven,41.3113,-72.9246,566683,2693
Provo,40.2457,-111.6457,563884,1082
Bakersfield,35.3529,-119.0359,556892,979
Murrieta,33.5719,-117.1909,524133,1310
Des Moines,41.5725,-93.6105,519180,943
Worcester,42.2705,-71.8079,516483,1913
Mesa,33.4015,-111.7178,508918,1416
Toledo,41.6638,-83.5827,498645,1319
Palm Bay,27.9631,-80.6593,496640,508
Staten Island,40.5834,-74.1496,495747,3286
Wichita,37.6895,-97.3443,484715,930
Harrisburg,40.2752,-76.8843,472261,2342
Long Beach,33.7977,-118.167,462081,3518
Little Rock,34.7256,-92.3577,446814,637
Madison,43.0822,-89.393,445499,1253
Greenville,34.8354,-82.3646,441303,905
Reno,39.5497,-119.8483,440547,890
Port St. Lucie,27.2796,-80.3884,435182,634
Lancaster,40.042,-76.3012,430621,3169
Spokane,47.6671,-117.433,426849,1230
Denton,33.2175,-97.1418,425901,559
Poughkeepsie,41.695,-73.9211,423386,2277
Oakland,37.7904,-122.2166,422575,2917
Winston-Salem,36.1029,-80.261,416394,715
Syracuse,43.0407,-76.1437,407942,2196
Boise,43.6005,-116.2308,407550,1047
Chattanooga,35.066,-85.2481,404766,491
Augusta,33.3645,-82.0708,404125,252
Arlington,32.6998,-97.125,397269,1600
Stockton,37.9765,-121.3109,394919,1930
Durham,35.9792,-78.9022,391371,945
Palm Coast,29.5389,-81.2457,386415,357
Scranton,41.4044,-75.6649,380870,1174
Aurora,39.7083,-104.7237,379434,914
Oxnard,34.1964,-119.1815,378990,3023
Modesto,37.6375,-121.0028,376717,1923
Indio,33.7346,-116.2346,367174,1045
Kissimmee,28.3041,-81.4169,366003,1299
Youngstown,41.0993,-80.6463,363541,730
Pensacola,30.4413,-87.1911,360711,901
Lancaster,34.6935,-118.1753,353619,645
Anaheim,33.839,-117.8574,353085,2711
Fayetteville,36.0714,-94.1661,350995,617
Jackson,32.3157,-90.2125,350373,566
Victorville,34.5277,-117.3536,350275,644
Bonita Springs,26.3558,-81.7859,347581,580
Greensboro,36.0956,-79.8271,343505,877
Corpus Christi,27.7254,-97.3767,343031,776
Flint,43.0236,-83.6921,339283,1108
Fayetteville,35.085,-78.9772,333366,550
Santa Ana,33.7367,-117.8819,332610,4697
Fort Wayne,41.0888,-85.1436,329170,935
Mobile,30.6782,-88.1162,328610,525
Lansing,42.7142,-84.5601,326380,1158
Ann Arbor,42.2759,-83.731,323593,1657
Huntsville,34.6981,-86.6412,317279,353
Lexington,38.0423,-84.4587,316743,438
Santa Rosa,38.4458,-122.7067,313875,1619
Antioch,37.9787,-121.796,313532,1475
Asheville,35.5707,-82.5537,312618,783
Henderson,36.0133,-115.0381,309955,1126
St. Paul,44.9478,-93.1039,305877,2272
Fort Collins,40.5477,-105.0656,304657,1120
Lakeland,28.0557,-81.9545,300268,643
Springfield,37.1943,-93.2916,295230,785
The Woodlands,30.1738,-95.5134,294943,1020
Shreveport,32.4653,-93.7955,291388,680
Trenton,40.2237,-74.7641,291085,4248
Plano,33.0502,-96.7486,288870,1555
Round Lake Beach,42.3791,-88.0811,287012,2090
South Bend,41.6767,-86.2696,285569,944
Savannah,32.0286,-81.1821,284429,525
Newark,40.7245,-74.1725,281917,4508
Davenport,41.5565,-90.6053,281895,618
Myrtle Beach,33.7094,-78.8844,281180,552
Lincoln,40.8099,-96.6784,280780,1131
Rockford,42.2596,-89.064,280337,881
Reading,40.34,-75.9267,278693,3464
Canton,40.8078,-81.3676,277769,1039
Irvine,33.6772,-117.7738,272694,1604
Eugene,44.0564,-123.1174,270013,1489
Chula Vista,32.6281,-117.0144,268779,2090
St. Petersburg,27.7931,-82.6652,264001,1648
Salem,44.9233,-123.0244,263571,1359
Lafayette,30.2082,-92.0325,263551,876
Laredo,27.5625,-99.4874,262774,944
Jersey City,40.7184,-74.0686,262652,6878
Santa Clarita,34.4175,-118.4964,260999,1159
Aguadilla,18.4382,-67.1537,260331,1681
Wilmington,34.2099,-77.8866,260170,917
Lubbock,33.5657,-101.8879,257835,737
Chandler,33.2825,-111.8514,257076,1520
Scottsdale,33.6872,-111.8651,254995,535
Tallahassee,30.4551,-84.2527,254250,737
Montgomery,32.3482,-86.2668,253540,480
Peoria,40.752,-89.6154,253461,906
Glendale,33.5791,-112.2311,250290,1568
Columbus,32.51,-84.8771,249510,348
Anchorage,61.1508,-149.1091,248902,66
Gilbert,33.31,-111.7463,248349,1398
North Las Vegas,36.2883,-115.0888,247248,942
Avondale,33.3873,-112.3235,247103,703
McKinney,33.2016,-96.667,244536,1102
Norfolk,36.8945,-76.259,244300,1770
Chesapeake,36.6778,-76.3023,242647,276
Kennewick,46.1978,-119.1732,240876,1162
Winter Haven,28.0118,-81.7014,240768,510
Irving,32.8583,-96.9702,240475,1386
Garland,32.91,-96.6304,238622,1612
York,39.9651,-76.7315,236818,3211
Concord,35.3933,-80.6369,236626,572
Arlington,38.8786,-77.1011,236434,3511
Atlantic City,39.3797,-74.4527,236314,1356
Visalia,36.3276,-119.3269,235184,1354
Fremont,37.5265,-121.9843,234829,1157
Hialeah,25.8696,-80.3045,233876,4184
Nashua,42.7491,-71.491,231409,1115
Killeen,31.0753,-97.7297,231312,1045
Gulfport,30.4274,-89.0704,230156,497
Brownsville,25.9975,-97.458,229387,534
Evansville,37.9881,-87.5341,227338,965
Appleton,44.278,-88.3892,225728,1150
Navarre,30.4174,-86.8907,223951,625
Bel Air South,39.5022,-76.3113,222834,998
Kalamazoo,42.2749,-85.5882,220561,1189
Bremerton,47.5436,-122.7121,219538,560
Spring Valley,36.0952,-115.2636,218697,2378
San Bernardino,34.1416,-117.2943,216784,1347
Roanoke,37.2785,-79.9581,216388,900
Spartanburg,34.9442,-81.9251,216021,720
Tacoma,47.2431,-122.4531,215766,1675
Enterprise,36.0091,-115.2278,214591,1255
Green Bay,44.5148,-87.9895,214438,887
Portland,43.6773,-70.2715,213986,1195
Thousand Oaks,34.1914,-118.8756,212806,891
Fontana,34.0968,-117.4599,212704,1906
Hickory,35.741,-81.3223,211042,515
Moreno Valley,33.9244,-117.2045,208751,1570
Deltona,28.905,-81.2137,205914,950
Fargo,46.8651,-96.8292,205472,957
Santa Barbara,34.4285,-119.7202,205215,1799
College Station,30.5852,-96.2959,203848,873
Gainesville,29.6804,-82.3459,203541,816
Amarillo,35.1984,-101.8316,202902,751
Norwich,41.5495,-72.0882,201726,538
Olympia,47.0417,-122.8959,200836,1108
Yonkers,40.9466,-73.8673,200183,4292
Huntington Beach,33.696,-118.0018,199778,2857
Glendale,34.1819,-118.2468,199357,2525
Aurora,41.7638,-88.2902,199326,1709
Huntington,38.4109,-82.4345,199133,1098
Sunrise Manor,36.1783,-115.0487,198187,2269
North Port,27.0576,-82.1977,195848,267
Hagerstown,39.6401,-77.7217,194602,1270
Grand Prairie,32.6871,-97.0208,193835,1031
Overland Park,38.887,-94.687,193412,993
Paradise,36.0872,-115.1355,193150,1758
Tempe,33.3881,-111.9319,191607,1852
Salinas,36.6883,-121.6317,190345,2564
Erie,42.1167,-80.0733,189513,1948
Cedar Rapids,41.9662,-91.6783,188618,712
Waterbury,41.5582,-73.0361,188607,1460
Frisco,33.156,-96.8216,188387,1059
Waco,31.5599,-97.1882,186695,599
Gastonia,35.2494,-81.1854,184902,572
Clarksville,36.5692,-87.3413,183798,606
Vancouver,45.6366,-122.5967,182792,1448
Lorain,41.4409,-82.184,182015,1044
Nampa,43.5844,-116.5638,181887,1116
Fort Lauderdale,26.1412,-80.1464,181818,2029
Hemet,33.7341,-116.9969,180380,1116
Newport News,37.1051,-76.5185,179582,1005
Ontario,34.0393,-117.6064,178194,1376
Rancho Cucamonga,34.1247,-117.5667,178060,1714
Vallejo,38.1125,-122.2342,177255,1539
Oceanside,33.2247,-117.3083,175694,1643
Vero Beach South,27.6132,-80.4163,174748,939
Ocala,29.178,-82.1511,174618,490
Sioux Falls,43.5396,-96.7311,173921,883
Danbury,41.4015,-73.4709,173508,777
Elk Grove,38.4161,-121.3842,173370,1594
High Point,35.991,-79.9937,173324,770
Garden Grove,33.7787,-117.9601,172800,3715
Peoria,33.7843,-112.2989,172109,377
Pembroke Pines,26.0128,-80.3382,171979,2031
Medford,42.3372,-122.854,171660,1224
Murfreesboro,35.849,-86.4121,169243,869
Cary,35.7819,-78.8195,169177,1102
Lafayette,40.3991,-86.8593,168164,953
Corona,33.8616,-117.5649,168112,1625
Santa Cruz,36.9789,-122.0346,165933,1970
Spring Hill,28.4798,-82.53,165526,732
Muskegon,43.2281,-86.2562,164136,1018
Manchester,42.9848,-71.4447,163488,1312
Marysville,48.0809,-122.1561,162700,1295
Springfield,39.7709,-89.654,162348,726
Frederick,39.4337,-77.4141,158866,1158
Hayward,37.6328,-122.0766,158817,1338
Alexandria,38.8185,-77.0861,158309,4092
Bayamón,18.3794,-66.1635,157517,2250
Port Arthur,29.8554,-93.9264,156988,273
Lakewood,39.6977,-105.1172,155733,1383
Fredericksburg,38.2992,-77.4872,155414,1073
Leesburg,28.7672,-81.8962,154301,232
Hollywood,26.0293,-80.1679,153834,2177
Palmdale,34.5944,-118.1057,153240,557
Macon,32.8065,-83.6974,153026,236
Kansas City,39.1235,-94.7443,153014,473
Champaign,40.1142,-88.2737,152940,1486
Sunnyvale,37.3836,-122.0255,152569,2670
